Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,92,0,6200,8468.616905434907,209.08509998116642,48702.50020001549,57.0,1.5934487511910729,0.0,6200,7000,8400,8700,11000,31000,42000,49000,49000,49000,49000
POST,/predict,495,0,4700,6488.768225252474,202.75080000283197,54654.68559999135,235.0,8.573447085212837,0.0,4700,5500,5900,6700,7700,20000,41000,49000,55000,55000,55000
,Aggregated,587,0,4900,6799.068188756361,202.75080000283197,54654.68559999135,207.1022146507666,10.16689583640391,0.0,4900,5800,6200,7000,8400,23000,41000,49000,55000,55000,55000
