Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,218,0,4500,4473.9072931193095,243.00680000123975,6234.207999999853,56.92201834862385,3.6560113383107575,0.0,4500,4800,4900,5000,5500,5700,5800,6100,6200,6200,6200
POST,/predict,1006,0,4300,4124.610149900604,240.73970000063127,5899.29149999989,235.0,16.871318377709276,0.0,4300,4600,4700,4800,5200,5400,5600,5800,5900,5900,5900
,Aggregated,1224,0,4300,4186.821569199363,240.73970000063127,6234.207999999853,203.28349673202615,20.527329716020034,0.0,4300,4600,4700,4900,5200,5500,5700,5800,6100,6200,6200
