Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785096590,100,,Aggregated,23.000000,0.000000,4200,4500,4700,4900,5500,5700,5800,5900,6200,6200,6200,557,0,4200,4006.513946678654,240.73970000063127,6234.207999999853,205.56912028725313
1785096591,100,,Aggregated,23.700000,0.000000,4200,4500,4700,4900,5400,5600,5800,5900,6200,6200,6200,586,0,4200,4026.6769561433566,240.73970000063127,6234.207999999853,204.89931740614335
1785096592,100,,Aggregated,23.200000,0.000000,4200,4500,4700,4900,5400,5600,5800,5900,6200,6200,6200,616,0,4200,4018.696550324687,240.73970000063127,6234.207999999853,204.05357142857142
1785096593,100,,Aggregated,22.800000,0.000000,4200,4500,4700,4900,5400,5600,5800,5900,6200,6200,6200,632,0,4200,4013.480826107613,240.73970000063127,6234.207999999853,204.55537974683546
1785096594,100,,Aggregated,23.500000,0.000000,4200,4500,4700,4900,5400,5600,5800,5900,6200,6200,6200,651,0,4200,4015.524177265763,240.73970000063127,6234.207999999853,204.89708141321046
1785096595,100,,Aggregated,23.700000,0.000000,4200,4500,4700,4900,5400,5600,5800,5900,6200,6200,6200,673,0,4200,4026.05220609214,240.73970000063127,6234.207999999853,205.3521545319465
1785096596,100,,Aggregated,22.600000,0.000000,4200,4500,4700,4900,5400,5600,5800,5900,6200,6200,6200,705,0,4200,4032.102041418458,240.73970000063127,6234.207999999853,204.67801418439717
1785096597,100,,Aggregated,22.100000,0.000000,4200,4500,4700,4800,5300,5600,5800,5900,6200,6200,6200,732,0,4200,4030.8569576502805,240.73970000063127,6234.207999999853,204.5806010928962
1785096598,100,,Aggregated,22.200000,0.000000,4200,4500,4700,4800,5300,5600,5800,5900,6200,6200,6200,757,0,4200,4018.1601377807174,240.73970000063127,6234.207999999853,204.87978863936593
1785096599,100,,Aggregated,22.900000,0.000000,4200,4500,4700,4800,5300,5600,5800,5900,6200,6200,6200,773,0,4200,4008.7089610608105,240.73970000063127,6234.207999999853,204.58214747736093
1785096600,100,,Aggregated,23.700000,0.000000,4100,4500,4600,4800,5300,5600,5800,5900,6200,6200,6200,800,0,4100,4003.666981000015,240.73970000063127,6234.207999999853,203.82875
1785096601,100,,Aggregated,23.300000,0.000000,4100,4400,4600,4800,5300,5600,5800,5800,6200,6200,6200,821,0,4100,4005.002297198552,240.73970000063127,6234.207999999853,203.97563946406822
1785096602,100,,Aggregated,23.200000,0.000000,4100,4400,4600,4700,5300,5600,5800,5800,6200,6200,6200,843,0,4100,4010.5593116251634,240.73970000063127,6234.207999999853,203.30723606168445
1785096603,100,,Aggregated,23.700000,0.000000,4200,4400,4600,4700,5300,5600,5800,5800,6200,6200,6200,866,0,4200,4017.248908776002,240.73970000063127,6234.207999999853,203.7378752886836
