Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,147,0,10000,10003.613881633948,79.00080000399612,16101.964500005124,58.0,2.509477209627359,0.0,10000,11000,11000,12000,12000,13000,16000,16000,16000,16000,16000
POST,/predict,883,0,3900,4025.31264360207,229.6830000123009,10901.811500021722,235.0,15.073934531299033,0.0,3900,4300,4600,4900,5800,6800,8100,9300,11000,11000,11000
,Aggregated,1030,0,4000,4878.526509612445,79.00080000399612,16101.964500005124,209.7388349514563,17.58341174092639,0.0,4000,4600,5400,6100,9600,11000,12000,13000,16000,16000,16000
