Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784484932,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784484933,20,,Aggregated,0.000000,0.000000,610,610,950,950,950,950,950,950,950,950,950,9,0,610,630.9956555455251,202.75080000283197,949.3676999991294,215.22222222222223
1784484934,60,,Aggregated,0.000000,0.000000,790,950,950,1100,1100,1300,1300,1300,1300,1300,1300,13,0,790,759.5593076861965,202.75080000283197,1250.509300007252,207.6153846153846
1784484935,80,,Aggregated,2.000000,0.000000,1100,1200,1700,2000,2400,2700,2700,2700,2700,2700,2700,24,0,1100,1241.4001583274512,202.75080000283197,2678.3073999977205,197.91666666666666
1784484936,100,,Aggregated,6.500000,0.000000,1300,1900,2000,2100,2700,3400,3600,3600,3600,3600,3600,33,0,1300,1515.879833329977,202.75080000283197,3628.868200001307,202.63636363636363
1784484937,100,,Aggregated,7.000000,0.000000,1700,2000,2200,2300,3200,3600,4600,4600,4600,4600,4600,48,0,1700,1729.597774998183,202.75080000283197,4575.99919999484,197.91666666666666
1784484938,100,,Aggregated,7.750000,0.000000,1700,2000,2200,2300,3400,4600,4700,5000,5000,5000,5000,60,0,1700,1847.212378331945,202.75080000283197,5021.563000016613,199.4
1784484939,100,,Aggregated,7.600000,0.000000,1800,2000,2200,2400,3900,5000,5100,5900,5900,5900,5900,68,0,1800,2019.5125367630253,202.75080000283197,5875.698199990438,200.97058823529412
1784484940,100,,Aggregated,8.000000,0.000000,1900,2200,2400,2700,3900,5100,5900,6900,6900,6900,6900,73,0,1900,2125.2292273956837,202.75080000283197,6885.795199981658,203.3013698630137
1784484941,100,,Aggregated,8.857143,0.000000,2000,2500,2800,3200,4700,5900,7600,7900,7900,7900,7900,85,0,2000,2419.205987057306,202.75080000283197,7892.51430000877,199.4
1784484942,100,,Aggregated,8.500000,0.000000,2100,2700,3400,3600,4700,6900,7900,8900,8900,8900,8900,94,0,2100,2587.467237232325,202.75080000283197,8919.366699992679,202.80851063829786
1784484943,100,,Aggregated,8.111111,0.000000,2200,2800,3400,3600,4700,6900,7900,8900,9900,9900,9900,103,0,2200,2691.546138832617,202.75080000283197,9886.458499997389,205.62135922330097
1784484944,100,,Aggregated,8.111111,0.000000,2400,2800,3400,3600,5000,7600,8900,9900,10000,10000,10000,108,0,2300,2779.8593648123506,202.75080000283197,10221.519499988062,203.6851851851852
1784484945,100,,Aggregated,8.500000,0.000000,2500,3100,3400,3600,5000,7600,9900,10000,11000,11000,11000,117,0,2500,2879.9727350405246,202.75080000283197,11127.258099993924,204.57264957264957
1784484946,100,,Aggregated,9.600000,0.000000,2700,3200,3400,3600,5100,7900,11000,12000,12000,12000,12000,126,0,2700,3055.3794261883477,202.75080000283197,12499.196900025709,205.33333333333334
1784484947,100,,Aggregated,9.600000,0.000000,2800,3400,3700,3900,5500,9900,12000,14000,14000,14000,14000,140,0,2800,3316.218695713282,202.75080000283197,14010.800400021253,203.21428571428572
