Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,120,0,7600,7881.322821666769,7.198100000096019,16026.847700000872,56.983333333333334,2.003913639015406,0.0,7700,9000,10000,11000,14000,15000,16000,16000,16000,16000,16000
POST,/predict,611,0,6400,6999.019145171794,211.86599999964528,19985.935700000482,235.0,10.203260278653442,0.0,6400,8000,9400,10000,13000,14000,15000,17000,20000,20000,20000
,Aggregated,731,0,6500,7143.856958002713,7.198100000096019,19985.935700000482,205.77701778385773,12.207173917668849,0.0,6500,8200,9600,11000,13000,15000,16000,16000,20000,20000,20000
