Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,158,0,5700,5484.673381012619,1023.721999999907,7045.830299999579,56.94303797468354,2.7014376033573972,0.0,5700,6000,6400,6400,6600,6600,6900,7000,7000,7000,7000
POST,/predict,784,0,5600,5364.031284183691,297.4330999986705,6885.506099999475,235.0,13.404601778684807,0.0,5600,5900,6100,6200,6300,6500,6700,6800,6900,6900,6900
,Aggregated,942,0,5600,5384.26637048834,297.4330999986705,7045.830299999579,205.1348195329087,16.106039382042205,0.0,5700,5900,6100,6200,6400,6500,6700,6800,7000,7000,7000
